"","t","i","a","s","open","completed","carried"
"588",17,19,0.57027089604075,"C_999",2463,5244,4319
"589",18,19,0.895491803278688,"C_999",2185,2516,2440
"590",19,19,0.909369259032456,"C_999",1485,1974,1633
"591",20,19,0.803634528016153,"C_999",1592,1310,1981
"592",21,19,1,"C_999",1395,1620,1349
"593",22,19,0.917376490630324,"C_999",1077,1166,1174
"594",23,19,0.806111696522655,"C_999",765,1207,949
"595",24,19,1,"C_999",865,753,831
"596",25,19,1,"C_999",818,798,648
"597",26,19,0.915690866510539,"C_999",782,676,854
"598",27,19,1,"C_999",1119,929,995
"599",28,19,0.953328232593726,"C_999",1246,958,1307
"600",29,19,1,"C_999",1022,1153,901
"601",0,20,NA,"C_999",4630,3312,NA
"602",1,20,0.591972420586063,"C_999",4808,4671,8122
"603",2,20,0.528488269536073,"C_999",2996,4865,5669
"604",3,20,0.504498849131617,"C_999",2411,2389,4779
"605",4,20,0.590887442451183,"C_999",3722,3103,6299
"606",5,20,0.550445103857567,"C_999",4452,3865,8088
"607",6,20,0.659807750075098,"C_999",4393,4137,6658
"608",7,20,0.561493662213087,"C_999",4917,4410,8757
"609",8,20,0.672126745435016,"C_999",5006,3054,7448
"610",9,20,0.673798752903778,"C_999",5511,4731,8179
"611",10,20,0.58339381622877,"C_999",4019,4305,6889
"612",11,20,0.428192898781134,"C_999",1616,3616,3774
"613",12,20,0.557452229299363,"C_999",2188,2261,3925
"614",13,20,0.602118893466745,"C_999",2046,2479,3398
"615",14,20,0.507776376628836,"C_999",1208,1987,2379
"616",15,20,0.477396726422447,"C_999",1225,1538,2566
"617",16,20,0.52078705172961,"C_999",1641,1811,3151
"618",17,20,0.40982028241335,"C_999",1277,2199,3116
"619",18,20,0.968690702087287,"C_999",1021,1409,1054
"620",19,20,0.84949215143121,"C_999",920,1102,1083
"621",20,20,1,"C_999",816,702,783
"622",21,20,1,"C_999",790,837,755
"623",22,20,0.981818181818182,"C_999",702,680,715
"624",23,20,0.860125260960334,"C_999",412,598,479
"625",24,20,1,"C_999",472,464,301
"626",25,20,1,"C_999",548,488,377
"627",26,20,1,"C_999",417,471,347
"628",27,20,1,"C_999",541,335,447
"629",28,20,1,"C_999",636,502,617
"630",29,20,1,"C_999",652,599,647
"631",0,21,NA,"C_999",1631,1258,NA
"632",1,21,0.771067894916411,"C_999",2260,1699,2931
"633",2,21,0.691522762951334,"C_999",1762,2260,2548
"634",3,21,0.887700534759358,"C_999",1494,1313,1683
"635",4,21,1,"C_999",1507,977,1434
"636",5,21,0.817958179581796,"C_999",1995,1283,2439
"637",6,21,0.826777336701552,"C_999",2291,1681,2771
"638",7,21,0.867042707493957,"C_999",2152,1911,2482
"639",8,21,0.847637685211071,"C_999",3032,1340,3577
"640",9,21,0.923666666666667,"C_999",2771,2006,3000
"641",10,21,0.680188124632569,"C_999",2314,2109,3402
"642",11,21,0.580752212389381,"C_999",1050,2211,1808
"643",12,21,1,"C_999",812,972,644
"644",13,21,0.956033676333021,"C_999",1022,1119,1069
"645",14,21,0.666347992351816,"C_999",697,1000,1046
"646",15,21,0.936708860759494,"C_999",444,734,474
"647",16,21,0.944199706314244,"C_999",643,544,681
"648",17,21,0.792817679558011,"C_999",574,917,724
"649",18,21,1,"C_999",631,807,470
"650",19,21,1,"C_999",520,631,390
"651",20,21,0.987341772151899,"C_999",546,367,553
"652",21,21,1,"C_999",522,516,300
"653",22,21,1,"C_999",458,469,321
"654",23,21,1,"C_999",326,405,297
"655",24,21,1,"C_999",268,308,104
"656",25,21,1,"C_999",337,288,184
"657",26,21,1,"C_999",361,293,255
"658",27,21,1,"C_999",291,292,125
"659",28,21,1,"C_999",384,225,316
"660",29,21,1,"C_999",448,383,253
"661",0,22,NA,"C_999",1250,1085,NA
"662",1,22,1,"C_999",1001,813,818
"663",2,22,0.799833887043189,"C_999",963,1056,1204
"664",3,22,0.964250248262165,"C_999",971,755,1007
"665",4,22,1,"C_999",793,721,773
"666",5,22,0.997870074547391,"C_999",937,568,939
"667",6,22,1,"C_999",1156,839,1156
"668",7,22,0.969672785315243,"C_999",1215,1038,1253
"669",8,22,1,"C_999",1424,738,1414
"670",9,22,0.95485564304462,"C_999",1819,1127,1905
"671",10,22,0.728172293364377,"C_999",1251,1053,1718
"672",11,22,0.668273866923819,"C_999",693,1277,1037
"673",12,22,1,"C_999",466,641,409
"674",13,22,1,"C_999",411,613,199
"675",14,22,0.666666666666667,"C_999",340,512,510
"676",15,22,1,"C_999",320,491,206
"677",16,22,1,"C_999",213,328,116
"678",17,22,0.940199335548173,"C_999",283,342,301
"679",18,22,1,"C_999",285,405,169
"680",19,22,1,"C_999",303,407,224
"681",20,22,1,"C_999",316,268,252
"682",21,22,1,"C_999",313,343,203
"683",22,22,1,"C_999",311,277,245
"684",23,22,1,"C_999",259,269,189
"685",24,22,1,"C_999",241,210,116
"686",25,22,1,"C_999",208,228,40
"687",26,22,1,"C_999",237,206,131
