"","t","i","a","s","open","completed","carried","c_a"
"236",25,7,0.949228095095694,"C_999",406300,52210,428032,0.113868836012301
"237",26,7,0.934362116408162,"C_999",392533,54687,420108,0.122282098296141
"238",27,7,1,"C_999",328065,44950,312543,0.120504537351045
"239",28,7,0.94596268300408,"C_999",400216,46279,423078,0.103649536948902
"240",29,7,0.949552219272333,"C_999",406302,58055,427888,0.125022342723379
"241",0,8,NA,"C_999",298511,32520,NA,0.0982385335512384
"242",1,8,0.953619116478671,"C_999",346878,43497,363749,0.111423631123919
"243",2,8,0.967990825587633,"C_999",353669,46597,365364,0.11641508396916
"244",3,8,0.93158092086468,"C_999",313041,41763,336032,0.117707241181046
"245",4,8,1,"C_999",320154,32539,295086,0.0922587065805105
"246",5,8,0.962552724619346,"C_999",366722,44748,380989,0.108751549323158
"247",6,8,0.943388755929579,"C_999",374081,50857,396529,0.119680988756007
"248",7,8,0.96872187615804,"C_999",329379,52384,340014,0.137216021458339
"249",8,8,0.96849695131787,"C_999",360246,36782,371964,0.0926433400163213
"250",9,8,1,"C_999",378230,51440,373109,0.119719784951242
"251",10,8,0.948134849909847,"C_999",364939,49431,384902,0.119291937157613
"252",11,8,0.957966065089157,"C_999",354845,45932,370415,0.114607375173725
"253",12,8,1,"C_999",354058,44441,353081,0.111520982486782
"254",13,8,0.964252713011712,"C_999",358972,47597,372280,0.117069919251099
"255",14,8,0.957937055514277,"C_999",360989,44704,376840,0.110191696677044
"256",15,8,0.857357315382207,"C_999",306687,48232,357712,0.135895795942173
"257",16,8,1,"C_999",338146,34205,335915,0.0918622482550067
"258",17,8,0.952693367480514,"C_999",367531,48780,385781,0.117172018034594
"259",18,8,0.964805357802588,"C_999",368217,54989,381649,0.129934358208532
"260",19,8,1,"C_999",344891,47449,341899,0.1209384717337
"261",20,8,0.910124297846077,"C_999",349485,42505,383997,0.108433888619608
"262",21,8,0.974074610171722,"C_999",370124,51987,379975,0.123159548080955
"263",22,8,0.950114270067749,"C_999",350462,47880,368863,0.120198221628651
"264",23,8,0.942425088776284,"C_999",330680,47482,350882,0.125559945208667
"265",24,8,0.987708579915988,"C_999",340475,40143,344712,0.105467949492667
"266",25,8,0.951245167694779,"C_999",353594,46744,371717,0.116761336670513
"267",26,8,0.943355357302567,"C_999",337525,48508,357792,0.125657651029834
"268",27,8,0.87532439572205,"C_999",300863,48817,343716,0.139604781514528
"269",28,8,1,"C_999",301002,32381,295684,0.0971285278493504
"270",29,8,0.954941515704884,"C_999",334156,50293,349923,0.130818392036395
"271",0,9,NA,"C_999",266147,29568,NA,0.0999881642797964
"272",1,9,1,"C_999",266050,34039,264472,0.113429682527517
"273",2,9,0.947284407368154,"C_999",291379,39284,307594,0.118803736734984
"274",3,9,0.948284853676036,"C_999",300025,37282,316387,0.11052839105029
"275",4,9,0.849540144884875,"C_999",236653,34475,278566,0.127153964179281
"276",5,9,0.955535080181794,"C_999",276894,30375,289779,0.0988547494215166
"277",6,9,0.935940102413955,"C_999",301763,44305,322417,0.12802397216732
"278",7,9,0.950971231562944,"C_999",308380,49802,324279,0.139041046172058
"279",8,9,0.972917484069108,"C_999",287645,33727,295652,0.104946915101502
"280",9,9,0.941805589315083,"C_999",298348,43463,316783,0.127155065226104
"281",10,9,0.933085268912177,"C_999",312703,43102,335128,0.121139388148002
"282",11,9,0.9512020425616,"C_999",308101,41032,323907,0.117525412951511
"283",12,9,0.899506872445618,"C_999",281274,42147,312698,0.130316213232907
"284",13,9,0.965818193388272,"C_999",303547,39768,314290,0.115835311594308
"285",14,9,0.949603638236661,"C_999",302350,40576,318396,0.11832290348355
"286",15,9,0.957058122742542,"C_999",302862,44538,316451,0.128203799654577
"287",16,9,0.935478836077149,"C_999",251728,37597,269090,0.129947291108615
"288",17,9,0.936141604352798,"C_999",284060,34709,303437,0.108884490022556
"289",18,9,0.953887256211595,"C_999",303484,49376,318155,0.139930850762342
"290",19,9,0.903373783836004,"C_999",289880,47331,320886,0.140360189910768
"291",20,9,0.99871007271965,"C_999",309695,34796,310095,0.101006992925795
"292",21,9,0.951653052386604,"C_999",287876,46984,302501,0.140309383025742
"293",22,9,0.931449226733368,"C_999",305357,42294,327830,0.121656488835067
"294",23,9,0.954389633203115,"C_999",291211,45334,305128,0.134704125748414
"295",24,9,0.903910457579038,"C_999",263837,38796,291884,0.12819487630232
"296",25,9,0.942292401070794,"C_999",284414,38643,301832,0.119616662075114
"297",26,9,0.93309522352585,"C_999",289727,43093,310501,0.129478396730966
"298",27,9,0.954722665248981,"C_999",280150,44089,293436,0.135976856578018
"299",28,9,0.908983317452395,"C_999",240397,36395,264468,0.131488626838926
"300",29,9,0.95813609634846,"C_999",254022,35881,265121,0.123768984798364
"301",0,10,NA,"C_999",229783,26742,NA,0.104247149400643
"302",1,10,0.90460999722418,"C_999",211828,31982,234165,0.13117591567204
"303",2,10,0.949742092540261,"C_999",223159,31082,234968,0.122254081757073
"304",3,10,0.935366050995169,"C_999",242778,31825,259554,0.115894582360717
"305",4,10,0.94684489699797,"C_999",253299,32506,267519,0.113734889172688
"306",5,10,0.918950282491432,"C_999",186886,33284,203369,0.151174092746514
"307",6,10,0.964403281160519,"C_999",234079,34175,242719,0.127397913917407
"308",7,10,0.948868936567164,"C_999",244125,44483,257280,0.154129476660384
"309",8,10,0.958740014524328,"C_999",264037,32980,275400,0.111037415366797
"310",9,10,0.904428829163354,"C_999",224084,39882,247763,0.151087640074858
"311",10,10,0.920837956013835,"C_999",239870,37857,260491,0.136310117489477
"312",11,10,0.944339496078638,"C_999",260446,36906,275797,0.12411552637951
"313",12,10,0.938279635439123,"C_999",252431,39065,269036,0.13401556110547
"314",13,10,0.957549980480388,"C_999",233015,37929,243345,0.139988337073344
"315",14,10,0.928114434330299,"C_999",249802,34397,269150,0.121031389976742
"316",15,10,0.934518782289788,"C_999",245642,39496,262854,0.138515385532619
"317",16,10,0.945651648592683,"C_999",254368,33875,268987,0.117522368279542
"318",17,10,0.932969737155451,"C_999",199802,37571,214157,0.158278321460318
"319",18,10,0.97782184776199,"C_999",242095,36474,247586,0.130933449163403
"320",19,10,0.940625469217413,"C_999",244319,43743,259741,0.151852726149232
"321",20,10,0.898244774339338,"C_999",228959,34984,254896,0.132543768919805
"322",21,10,0.958670507357199,"C_999",258262,40299,269396,0.134977441795814
"323",22,10,0.928912288924896,"C_999",229890,40393,247483,0.149447061043425
"324",23,10,0.926210429189275,"C_999",243924,42000,263357,0.146892181139044
"325",24,10,0.928115436441993,"C_999",236249,36664,254547,0.134343178961794
"326",25,10,0.937750660007292,"C_999",213478,36188,227649,0.144945647384906
"327",26,10,0.924767618862547,"C_999",228425,37406,247008,0.140713460807806
"328",27,10,0.920965417576607,"C_999",228148,42000,247727,0.155470334779454
"329",28,10,0.955289173078653,"C_999",233658,35556,244594,0.132073369141278
"330",29,10,0.942362720403023,"C_999",187059,41897,198500,0.182991491815021
"331",0,11,NA,"C_999",198793,22402,NA,0.101277153642713
"332",1,11,0.961030779384412,"C_999",192210,29779,200004,0.134146286527711
"333",2,11,0.96164233476677,"C_999",175543,29283,182545,0.14296524855243
"334",3,11,0.946513243639351,"C_999",186642,25970,197189,0.1221473858484
