"","t","i","a","s","open","completed","carried"
"87",14,2,0.995412915625739,"C_999",829170,139935,832991
"88",15,2,0.966821929029559,"C_999",887558,147794,918016
"89",16,2,0.973609427535282,"C_999",972666,150018,999031
"90",17,2,0.97286241264362,"C_999",919892,157359,945552
"91",18,2,0.952333227379521,"C_999",841894,148849,884033
"92",19,2,0.963996130430353,"C_999",879900,162249,912763
"93",20,2,0.989281880841013,"C_999",955766,133469,966121
"94",21,2,0.976435725777155,"C_999",940747,177447,963450
"95",22,2,0.96729809758325,"C_999",690587,131593,713934
"96",23,2,0.964119394246557,"C_999",968268,150622,1004303
"97",24,2,0.963044283243371,"C_999",996095,140900,1034319
"98",25,2,0.930337101631566,"C_999",909772,170364,977895
"99",26,2,0.983710199171234,"C_999",919892,157444,935125
"100",27,2,0.961555421257463,"C_999",976923,151834,1015982
"101",28,2,0.975038127368518,"C_999",1012698,158448,1038624
"102",29,2,0.970131177031107,"C_999",980433,160059,1010619
"103",30,2,0.97996260929092,"C_999",904725,156313,923224
"104",31,2,0.966696321939253,"C_999",958375,166764,991392
"105",32,2,0.969313716657773,"C_999",979097,129753,1010093
"106",33,2,0.961611969207356,"C_999",973084,175645,1011930
"107",34,2,0.971995226263997,"C_999",736265,136833,757478
"108",35,2,0.950822906312363,"C_999",1002464,135476,1054312
"109",0,3,NA,"C_999",508987,86579,NA
"110",1,3,0.942978944906222,"C_999",572458,92347,607074
"111",2,3,0.955350509286998,"C_999",558068,111895,584150
"112",3,3,0.961759559029149,"C_999",667213,108141,693742
"113",4,3,0.94185597120197,"C_999",682369,105805,724494
"114",5,3,0.950905956621557,"C_999",714893,129302,751802
"115",6,3,0.961487848563352,"C_999",675850,121626,702921
"116",7,3,0.947887861819554,"C_999",618039,125487,652017
"117",8,3,0.973508785732669,"C_999",730043,101815,749909
"118",9,3,0.938664415691665,"C_999",718358,121629,765298
"119",10,3,0.948208436436848,"C_999",719639,122388,758946
"120",11,3,1,"C_999",528485,116296,512209
"121",12,3,0.959435486006302,"C_999",760935,93405,793107
"122",13,3,0.964685756231688,"C_999",775371,130242,803755
"123",14,3,0.967368243179813,"C_999",772845,120959,798915
"124",15,3,1,"C_999",734930,102513,726657
"125",16,3,0.989749928341584,"C_999",763116,116539,771019
"126",17,3,0.963026282903499,"C_999",820717,120439,852227
"127",18,3,0.941568518671235,"C_999",753558,119570,800322
"128",19,3,0.972469285584794,"C_999",697348,124804,717090
"129",20,3,0.989072144472285,"C_999",776841,94476,785424
"130",21,3,0.992292263783941,"C_999",818785,130621,825145
"131",22,3,0.964656589673499,"C_999",791548,120198,820549
"132",23,3,1,"C_999",596808,106161,584426
"133",24,3,0.95757848877441,"C_999",837208,93971,874297
