"","year","type","base_cost","ideal_cost","diff","prod","pay","drug","val_prod","val_pay","val_drug","index","diff_fin"
"1",2024,"cl_costing",4.24431975194148,4.28561493263864,0.0412951806971593,1.0058,1.008,1.025,1.0058,1.008,1.025,1.001156,0.0413429179260452
"2",2024,"dc_cost",1.490634274791,1.5051374261388,0.0145031513478018,1.0058,1.008,1.025,1.0058,1.008,1.025,1.001156,0.0145199169907598
"3",2024,"in_cost",1.80880221867406,1.82640099040453,0.0175987717304755,1.0058,1.008,1.025,1.0058,1.008,1.025,1.001156,0.017619115910596
"4",2024,"ncl_costing",0.450043941114984,0.454422651239617,0.0043787101246327,1.0058,1.008,1.025,1.0058,1.008,1.025,1.001156,0.00438377191353678
"5",2024,"proc_cost",1.22064667221075,1.23252297462017,0.0118763024094195,1.0058,1.008,1.025,1.0058,1.008,1.025,1.001156,0.0118900314150048
"6",2025,"cl_costing",5.78275829886836,5.95865926484999,0.175900965981628,1.0058,1.008,1.025,1.01163364,1.016064,1.050625,1.002366308,0.176317201844638
"7",2025,"dc_cost",2.03094446858822,2.09272209708596,0.0617776284977407,1.0058,1.008,1.025,1.01163364,1.016064,1.050625,1.002366308,0.061923813394276
"8",2025,"in_cost",2.46443874457485,2.5394024787254,0.0749637341505522,1.0058,1.008,1.025,1.01163364,1.016064,1.050625,1.002366308,0.0751411214343826
"9",2025,"ncl_costing",0.613171364892487,0.631822920053969,0.0186515551614821,1.0058,1.008,1.025,1.01163364,1.016064,1.050625,1.002366308,0.0186956904856731
"10",2025,"proc_cost",1.66309446183546,1.71368276368664,0.0505883018511777,1.0058,1.008,1.025,1.01163364,1.016064,1.050625,1.002366308,0.0507080093545545
"11",2026,"cl_costing",5.92732725634006,6.25063356882764,0.323306312487579,1.0058,1.008,1.025,1.017501115112,1.024192512,1.076890625,1.003632239972,0.324480638598997
"12",2026,"dc_cost",2.08171808030292,2.19526547984317,0.11354739954025,1.0058,1.008,1.025,1.017501115112,1.024192512,1.076890625,1.003632239972,0.113959830943577
"13",2026,"in_cost",2.52604971318922,2.66383320018295,0.137783486993729,1.0058,1.008,1.025,1.017501115112,1.024192512,1.076890625,1.003632239972,0.138283949682669
"14",2026,"ncl_costing",0.628500649014798,0.662782243136613,0.0342815941218155,1.0058,1.008,1.025,1.017501115112,1.024192512,1.076890625,1.003632239972,0.0344061130982887
"15",2026,"proc_cost",1.70467182338135,1.79765321910729,0.0929813957259393,1.0058,1.008,1.025,1.017501115112,1.024192512,1.076890625,1.003632239972,0.0933191264681474
"16",2027,"cl_costing",6.07551043774855,6.55691461370019,0.48140417595164,1.0058,1.008,1.025,1.02340262157965,1.032386052096,1.103812890625,1.00495514303252,0.483789602499934
"17",2027,"dc_cost",2.1337610323105,2.30283348835549,0.169072456044997,1.0058,1.008,1.025,1.02340262157965,1.032386052096,1.103812890625,1.00495514303252,0.16991023424756
"18",2027,"in_cost",2.58920095601894,2.79436102699191,0.205160070972968,1.0058,1.008,1.025,1.02340262157965,1.032386052096,1.103812890625,1.00495514303252,0.206176668469201
"19",2027,"ncl_costing",0.644213165240167,0.695258573050308,0.0510454078101404,1.0058,1.008,1.025,1.02340262157965,1.032386052096,1.103812890625,1.00495514303252,0.0512983451069931
"20",2027,"proc_cost",1.74728861896588,1.88573822684354,0.138449607877665,1.0058,1.008,1.025,1.02340262157965,1.032386052096,1.103812890625,1.00495514303252,0.139135645487495
"21",2028,"cl_costing",6.22739819869226,6.8782034297715,0.650805231079247,1.0058,1.008,1.025,1.02933835678481,1.04064514051277,1.13140821289062,1.00633639619895,0.654928990871712
"22",2028,"dc_cost",2.18710505811825,2.41567232928491,0.228567271166657,1.0058,1.008,1.025,1.02933835678481,1.04064514051277,1.13140821289062,1.00633639619895,0.23001556395488
