t,i,s,z
17,5,C_999,118360.27288386463
17,4,C_999,177812.035406585
17,3,C_999,266699.6318261164
17,2,C_999,414125.5309020075
17,1,C_999,722798.0963224971
17,0,C_999,1787861.5232967702
18,17,C_999,5.287516612299875
18,16,C_999,61.80675995462626
18,15,C_999,340.09640412334784
18,14,C_999,1063.9719564012746
18,13,C_999,2653.5705572254997
18,12,C_999,5608.182139098687
18,11,C_999,10099.08156064184
18,10,C_999,16753.560091405823
18,9,C_999,26649.697986219384
18,8,C_999,40394.723368424406
18,7,C_999,58663.76212267314
18,6,C_999,84857.80011250023
18,5,C_999,122354.52735111008
18,4,C_999,182330.70443708418
18,3,C_999,271602.70005210215
18,2,C_999,419248.0421647068
18,1,C_999,727885.4620992213
18,0,C_999,1790081.1314166551
19,18,C_999,0.527090184088162
19,17,C_999,10.237243995398961
19,16,C_999,92.92455251934243
19,15,C_999,453.97087576763124
19,14,C_999,1322.3363953010837
19,13,C_999,3139.7746789530083
19,12,C_999,6405.278270946854
19,11,C_999,11229.763975666463
19,10,C_999,18243.709005673645
19,9,C_999,28537.913179828614
19,8,C_999,42669.14366516598
19,7,C_999,61268.91771062589
19,6,C_999,87789.32100338361
19,5,C_999,125572.16767636468
19,4,C_999,185853.471786909
19,3,C_999,275264.74197952216
19,2,C_999,422857.84841099055
19,1,C_999,731241.7796282817
19,0,C_999,1792303.4951527568
20,19,C_999,0.02239022433590814
20,18,C_999,1.0268382078413227
20,17,C_999,15.443217773578418
20,16,C_999,124.26147251712932
20,15,C_999,564.7227432615599
20,14,C_999,1565.6852985674846
20,13,C_999,3587.8207824652527
20,12,C_999,7125.124432994504
20,11,C_999,12232.540821724559
20,10,C_999,19542.03641695764
20,9,C_999,30152.746438659702
20,8,C_999,44575.43615813605
20,7,C_999,63401.92583889046
20,6,C_999,90120.71081220251
20,5,C_999,128034.34984095125
20,4,C_999,188415.84168778072
20,3,C_999,277734.4073729958
20,2,C_999,425023.76374608127
20,1,C_999,732951.2245719184
20,0,C_999,1794528.6179261382
21,20,C_999,-0.0021587898226488322
21,19,C_999,0.04295824074843321
21,18,C_999,1.539719019324351
21,17,C_999,20.58362436069785
21,16,C_999,154.30647415724223
21,15,C_999,668.055646376151
21,14,C_999,1787.9269333881398
21,13,C_999,3989.096012986176
21,12,C_999,7758.488721202344
21,11,C_999,13098.965660439118
21,10,C_999,20641.96503497315
21,9,C_999,31491.70648071127
21,8,C_999,46115.76111175317
21,7,C_999,65069.27803563056
21,6,C_999,91865.1977959977
21,5,C_999,129763.99138446119
21,4,C_999,190050.7946026031
21,3,C_999,279059.5137694044
21,2,C_999,425806.42106990836
21,1,C_999,733079.5652559882
21,0,C_999,1796756.5031621098
22,21,C_999,0.00022696978257742738
22,20,C_999,-0.004244427525297946
22,19,C_999,0.06148564767848807
22,18,C_999,2.0155800259159506
22,17,C_999,25.31267453321231
22,16,C_999,181.59665865398986
22,15,C_999,760.8818115221416
22,14,C_999,1984.0106242339518
22,13,C_999,4337.461461774407
22,12,C_999,8298.890546180222
22,11,C_999,13823.399189528776
22,10,C_999,21540.470867973105
22,9,C_999,32554.994609293757
22,8,C_999,47293.56962951666
22,7,C_999,66279.4432256864
22,6,C_999,93038.5833398218
22,5,C_999,130783.91516115477
22,4,C_999,190792.66159759884
22,3,C_999,279284.6750310821
22,2,C_999,425257.2498189985
22,1,C_999,731675.985266082
22,0,C_999,1798987.1542902358
23,22,C_999,-1.303537611471511e-05
23,21,C_999,0.0004630051317958345
23,20,C_999,-0.00631634975559512
23,19,C_999,0.07418250285538511
23,18,C_999,2.404543719266274
23,17,C_999,29.309761103441204
23,16,C_999,205.05988704737618
23,15,C_999,840.6766531272526
23,14,C_999,2150.3269166046944
23,13,C_999,4628.616344758523
23,12,C_999,8742.0165273682
23,11,C_999,14403.062644133579
23,10,C_999,22236.961898541664
23,9,C_999,33344.42647230063
23,8,C_999,48114.59722292961
23,7,C_999,67043.75694973886
23,6,C_999,93657.7451771626
23,5,C_999,131119.2963043031
23,4,C_999,190675.22802739067
23,3,C_999,278450.3093908573
23,2,C_999,423419.2906522332
23,1,C_999,728774.8194201225
23,0,C_999,1801220.5747443375
24,23,C_999,8.186935477038775e-07
24,22,C_999,-2.9005219335218524e-05
24,21,C_999,0.0007235595460400096
24,20,C_999,-0.008023989583611765
24,19,C_999,0.0780790291313783
24,18,C_999,2.6653840360488226
24,17,C_999,32.34658144261671
24,16,C_999,223.85684979334874
24,15,C_999,905.6672619037049
24,14,C_999,2284.40238987564
24,13,C_999,4859.771207931722
24,12,C_999,9085.739131575287
24,11,C_999,14837.254474363424
24,10,C_999,22732.492054867846
24,9,C_999,33864.068042293235
24,8,C_999,48587.41985170067
24,7,C_999,67375.22384312465
24,6,C_999,93742.25015170439
24,5,C_999,130796.16970843867
24,4,C_999,189730.83932845318
24,3,C_999,276592.9463193962
24,2,C_999,420328.0813610329
24,1,C_999,724396.6670552525
24,0,C_999,1803456.7679624984
25,24,C_999,-9.346032796103872e-08
25,23,C_999,2.0145937939031107e-06
25,22,C_999,-5.013927572865805e-05
25,21,C_999,0.000975139320729906
25,20,C_999,-0.00898690491896835
25,19,C_999,0.07181749006807377
25,18,C_999,2.774234780919318
25,17,C_999,34.267112363998706
25,16,C_999,237.44155693244375
25,15,C_999,954.7084562249538
25,14,C_999,2384.737100758571
25,13,C_999,5029.64735109674
25,12,C_999,9329.597719403342
25,11,C_999,15126.791657770744
25,10,C_999,23030.15052786421
25,9,C_999,34120.56491036619
25,8,C_999,48722.50294998373
25,7,C_999,67289.57811069749
25,6,C_999,93313.16372739896
25,5,C_999,129840.67153190891
25,4,C_999,187990.46169426228
25,3,C_999,273745.68015081994
25,2,C_999,416012.3328155359
25,1,C_999,718549.1747364411
25,0,C_999,1805695.737387071
26,25,C_999,2.1039070647830263e-08
26,24,C_999,-2.469542094759738e-07
26,23,C_999,3.887948852976915e-06
26,22,C_999,-7.545707228296728e-05
26,21,C_999,0.0011683736733224103
26,20,C_999,-0.008871756569454992
26,19,C_999,0.0561067725051321
26,18,C_999,2.723433632370179
26,17,C_999,34.99945631156859
26,16,C_999,245.5292859254405
26,15,C_999,987.2119922404031
26,14,C_999,2450.7947146089996
26,13,C_999,5138.169152418664
26,12,C_999,9474.420634164175
26,11,C_999,15274.236158158494
26,10,C_999,23135.238457704192
26,9,C_999,34122.412349487
26,8,C_999,48532.89538007779
26,7,C_999,66804.33391897204
26,6,C_999,92392.41023383732
26,5,C_999,128278.97499859562
26,4,C_999,185483.89550354984
26,3,C_999,269938.5657149796
26,2,C_999,410494.5377132385
26,1,C_999,711227.4952698713
26,0,C_999,1807937.486464682
27,25,C_999,5.330519020514552e-08
27,24,C_999,-5.152130728094024e-07
27,23,C_999,6.5705924487089335e-06
27,22,C_999,-0.00010154758758763914
27,21,C_999,0.0012421073744389513
27,20,C_999,-0.0074887470583809845
27,19,C_999,0.033501024538935074
27,18,C_999,2.5221127831750656
27,17,C_999,34.549219859972894
27,16,C_999,248.07371212993536
27,15,C_999,1003.1334168471934
27,14,C_999,2482.8346016735445
27,13,C_999,5186.233218225091
27,12,C_999,9522.440103181842
27,11,C_999,15283.97399208858
27,10,C_999,23054.72367152063
27,9,C_999,33880.384628559805
27,8,C_999,48033.470421533806
27,7,C_999,65938.24892929582
27,6,C_999,91002.65130665079
27,5,C_999,126137.36156992
27,4,C_999,182239.99325999367
