"","t","breach","not_breach","tot","ratio"
"35",35,1223920.71214903,4195673.0877737,5419593.79992272,0.225832554492641
"36",36,1177671.60334693,4158099.9233381,5335771.52668503,0.220712524413239
"37",37,1131511.35529931,4119225.64100165,5250736.99630096,0.215495721095236
"38",38,1085478.19373182,4079006.46782613,5164484.66155795,0.210181318150023
"39",39,1039611.50146075,4037395.99133222,5077007.49279298,0.204768557646709
"40",40,993951.937504787,3994344.93979465,4988296.87729944,0.199256772793141
"41",41,948541.4239572,3949801.12175257,4898342.54570977,0.193645384148968
"42",42,903423.27062036,3903709.21744441,4807132.48806477,0.187933923781671
"43",43,858642.326024398,3856010.5288856,4714652.85491,0.18212206761526
"44",44,814245.108106753,3806642.74269813,4620887.85080488,0.176209666712627
"45",45,770279.975359668,3755539.62443291,4525819.59979258,0.170196791625316
"46",46,726797.295143566,3702630.70553663,4429428.0006802,0.164083781253913
"47",47,683849.624217899,3647840.93117163,4331690.55538953,0.15787130116371
"48",48,641491.89733385,3591090.27545381,4232582.17278766,0.151560411858785
"49",49,599781.633695239,3532293.31089979,4132074.94459503,0.145152651328308
"50",50,558779.148348718,3471358.73910823,4030137.88745695,0.138650131571878
"51",51,518547.774447972,3408188.87127397,3926736.64572194,0.132055653646372
"52",52,479154.090872936,3342679.05738405,3821833.14825699,0.125372843943086
"53",53,440668.154478688,3274717.05636345,3715385.21084213,0.118606316565169
"54",54,403163.733916743,3204182.33989962,3607346.07381636,0.111761867496738
"55",55,366718.539134779,3130945.3230387,3497663.86217347,0.1048467072839
"56",56,331414.438729644,3054866.51348262,3386280.95221227,0.0978697406997874
"57",57,297337.652546336,2975795.57231986,3273133.2248662,0.0908419034970663
"58",58,264578.901396047,2893570.27921107,3158149.18060712,0.0837765685739978
"59",59,233233.487587745,2808015.39634337,3041248.88393112,0.0766900363926373
"60",60,203401.268649754,2718941.42756565,2922342.69621541,0.069602127400448
"61",61,182845.258611672,2762061.28516685,2944906.54377852,0.0620886455626088
"62",62,165987.542973174,2801904.42274255,2967891.96571573,0.0559277577791295
"63",63,152248.984934981,2838797.23910266,2991046.22403765,0.0509015820990753
"64",64,142062.711069781,2871824.74300116,3013887.45407094,0.0471360371728192
"65",65,143613.424777313,2892527.09683732,3036140.52161463,0.0473013102506002
"66",66,146647.192777177,2911349.51209777,3057996.70487494,0.0479553141909531
"67",67,150233.701860149,2929289.73322744,3079523.43508759,0.0487847243337753
"68",68,154017.767125441,2946716.32690777,3100734.09403321,0.0496713882760279
"69",69,157858.806602116,2963763.16533593,3121621.97193804,0.0505694821542117
"70",70,161650.437188473,2980529.89041028,3142180.32759876,0.0514453087776812
"71",71,165370.584260904,2997056.76518817,3162427.34944908,0.0522922951225149
"72",72,169004.567237794,3013370.56806049,3182375.13529828,0.0531064252492514
"73",73,172543.776779016,3029478.97766407,3202022.75444308,0.0538858684060246
"74",74,175994.853878811,3045386.82669744,3221381.68057625,0.0546333441144202
"75",75,179378.776929501,3061082.13370345,3240460.91063295,0.0553559453042325
"76",76,182702.325049129,3076565.65996353,3259267.98501266,0.0560562451106392
"77",77,185970.348023725,3091839.60925867,3277809.95728239,0.0567361593403395
"78",78,189186.108687125,3106907.71929531,3296093.82798244,0.0573970640887149
"79",79,192349.667420025,3121776.90588917,3314126.5733092,0.0580393244389462
"80",80,195461.829504992,3136453.01624032,3331914.84574531,0.0586635128909694
"81",81,198523.325972075,3150941.98834508,3349465.31431715,0.0592701542910431
"82",82,201534.796603764,3165249.70230637,3366784.49891013,0.0598597257023735
"83",83,204496.724353184,3179382.0541372,3383878.77849039,0.0604326389151605
"84",84,207409.583122792,3193344.83177899,3400754.41490178,0.0609892858519696
"85",85,210273.819659277,3207143.73044251,3417417.55010178,0.0615300344709163
"86",86,213089.938841678,3220784.26380179,3433874.20264347,0.0620552548714908
"87",87,215858.508845924,3234271.75863241,3450130.26747834,0.0625653213389224
"88",88,218580.149847733,3247611.36450186,3466191.51434959,0.0630606095891813
"89",89,221255.527306246,3260808.06140517,3482063.58871142,0.0635414953430313
"90",90,223885.338402521,3273866.67438779,3497752.01279031,0.0640083509590827
"91",91,226470.304816479,3286791.88179075,3513262.18660723,0.0644615439405
"92",92,229011.166317473,3299588.22303746,3528599.38935493,0.0649014356824845
"93",93,231508.677372721,3312260.10341357,3543768.78078629,0.0653283810805946
"94",94,233963.604031762,3324811.79867214,3558775.40270391,0.0657427282019539
"95",95,236376.721558305,3337247.45891895,3573624.18047726,0.0661448181511735
"96",96,238748.812383539,3349571.11229514,3588319.92467868,0.0665349850055296
"97",97,241080.664294415,3361786.66847213,3602867.33276654,0.066913555795377
"98",98,243373.068762349,3373897.92205632,3617270.99081867,0.0672808505030663
"99",99,245626.819404683,3385908.55590507,3631535.37530975,0.0676371820785946
"100",100,247842.710533282,3397822.1443932,3645664.85492648,0.0679828564598762
"101",101,250021.535798888,3409642.15661467,3659663.69241356,0.0683181726007172
"102",102,252164.086937896,3421371.95950736,3673536.04644525,0.0686434225089218
"103",103,254271.152616356,3433014.82090121,3687285.97351757,0.0689588912936384
"104",104,256343.517373362,3444573.91248201,3700917.42985537,0.0692648572230858
"105",105,258381.960657485,3456052.31267243,3714434.27332992,0.0695615917914333
"106",106,260387.255952039,3467453.00943031,3727840.26538235,0.0698493597942111
"107",107,262360.169983336,3478778.90296585,3741139.07294918,0.0701284194111806
"108",108,264301.462006849,3490032.80837926,3754334.27038611,0.0703990222958135
"109",109,266211.883166076,3501217.45822081,3767429.34138689,0.0706614136704889
"110",110,268092.175919206,3512335.50497492,3780427.68089413,0.0709158324266101
"111",111,269943.073528906,3523389.5234706,3793332.5969995,0.0711625112288938
"112",112,271765.29961078,3534382.0132199,3806147.31283067,0.0714016766231428
"113",113,273559.567736327,3545315.40068657,3818874.9684229,0.0716335491468841
"114",114,275326.581086475,3556192.04148676,3831518.62257324,0.0718583434423103
"115",115,277067.032152017,3567014.22252359,3844081.25467561,0.0720762683710227
"116",116,278781.602477525,3577784.16405762,3856565.76653515,0.0722875271301261
"117",117,280470.962445516,3588504.02171487,3868974.98416039,0.0724923173692685
"118",118,282135.771097844,3599175.88843427,3881311.65953212,0.0726908313082632
"119",119,283776.675991504,3609801.79635621,3893578.47234771,0.0728832558549654
"120",120,285394.313086176,3620383.71865394,3905778.03174012,0.0730697727231124
"121",121,286989.306661042,3630923.57130955,3917912.87797059,0.0732505585498616
"122",122,288562.269258532,3641423.21483597,3929985.48409451,0.0734257850127959
"123",123,290113.801652826,3651884.45594684,3941998.25759967,0.0735956189461838
"124",124,291644.492841067,3662309.04917558,3953953.54201665,0.0737602224563112
"125",125,293154.920055382,3672698.69844533,3965853.61850071,0.0739197530357183
"126",126,294645.648793917,3683055.05859117,3977700.70738508,0.074074363676199
"127",127,296117.232869225,3693379.73683605,3989496.96970528,0.0742242029804325
"128",128,297570.21447246,3703674.29422192,4001244.50869438,0.0743694152721394
"129",129,299005.124251897,3713940.24699725,4012945.37124914,0.0745101407046622
"130",130,300422.481404458,3724179.06796248,4024601.54936693,0.0746465153678913
"131",131,301822.793778957,3734392.18777451,4036214.98155347,0.0747786713934624
"132",132,303206.557989897,3744580.99621161,4047787.55420151,0.0749067370581678
"133",0,3080527,4488180,7568707,0.407008356909575
