"","t","s","first","fups","dc","ord","date"
"44",44,"C_999",1593194.29847023,3577086.12121972,237900.018298803,53233.5064437925,2027-10-01
"45",45,"C_999",1596476.01787112,3584454.33295256,238390.053385091,53343.1587511363,2027-11-01
"46",46,"C_999",1599764.49707667,3591837.72199517,238881.097863424,53453.0369242799,2027-12-01
"47",47,"C_999",1603059.75001095,3599236.31961033,239373.153812983,53563.1414284698,2028-01-01
"48",48,"C_999",1606361.79062675,3606650.15712519,239866.223317233,53673.4727299109,2028-02-01
"49",49,"C_999",1609670.63290557,3614079.26593147,240360.308463932,53784.0312957684,2028-03-01
"50",50,"C_999",1612986.29085773,3621523.67748553,240855.411345137,53894.8175941697,2028-04-01
"51",51,"C_999",1616308.7785224,3628983.42330851,241351.534057214,54005.8320942068,2028-05-01
"52",52,"C_999",1619638.10996766,3636458.5349865,241848.678700847,54117.0752659374,2028-06-01
"53",53,"C_999",1622974.2992906,3643949.04417064,242346.847381048,54228.547580388,2028-07-01
"54",54,"C_999",1626317.3606173,3651454.98257728,242846.042207166,54340.249509555,2028-08-01
"55",55,"C_999",1629667.30810297,3658976.38198809,243346.265292892,54452.1815264071,2028-09-01
"56",56,"C_999",1633024.15593198,3666513.27425021,243847.518756273,54564.3441048873,2028-10-01
"57",57,"C_999",1636387.9183179,3674065.69127637,244349.804719718,54676.7377199147,2028-11-01
"58",58,"C_999",1639758.60950358,3681633.66504504,244853.125310009,54789.3628473868,2028-12-01
"59",59,"C_999",1643136.24376122,3689217.22760058,245357.482658307,54902.2199641815,2029-01-01
"60",60,"C_999",1646520.83539242,3696816.41105332,245862.878900164,55015.3095481586,2029-02-01
"61",61,"C_999",1649912.39872821,3704431.24757976,246369.31617553,55128.6320781625,2029-03-01
"62",62,"C_999",1653310.94812917,3712061.76942266,246876.796628765,55242.1880340239,2029-04-01
"63",63,"C_999",1656716.49798546,3719708.00889121,247385.322408644,55355.9778965619,2029-05-01
"64",64,"C_999",1660129.06271685,3727369.99836115,247894.895668368,55470.0021475858,2029-06-01
