"","t","breach","not_breach","tot","ratio"
"39",39,1772262.72994146,4756494.52085613,6528757.25079759,0.271454836174978
"40",40,1753895.10154965,4752086.13336613,6505981.23491577,0.269581949012853
"41",41,1735617.24677507,4747600.38221058,6483217.62898564,0.267709237310705
"42",42,1717425.03164362,4743034.00631837,6460459.03796199,0.265836378119874
"43",43,1699314.51948157,4738383.73425014,6437698.25373171,0.263963058302171
"44",44,1681281.93171739,4733646.33623195,6414928.26794934,0.262088968339289
"45",45,1663323.65468016,4728818.59434794,6392142.2490281,0.260213804680749
"46",46,1645436.23850356,4723897.3123605,6369333.55086406,0.258337269568861
"47",47,1627616.39011837,4718879.31438245,6346495.70450082,0.256459070627605
"48",48,1609860.95321023,4713761.45535848,6323622.40856871,0.254578918410564
"49",49,1592166.9168149,4708540.60832346,6300707.52513836,0.2526965282014
"50",50,1574531.40727956,4703213.66694283,6277745.07422239,0.250811619246038
"51",51,1556951.69423222,4697777.53307522,6254729.22730743,0.248923916232016
"52",52,1539425.18929263,4692229.11140951,6231654.30070213,0.247033149627568
"53",53,1521949.44412092,4686565.30468766,6208514.74880858,0.245139055909142
"54",54,1504522.15012773,4680783.00748013,6185305.15760786,0.243241378038912
"55",55,1487141.13531081,4674879.10311479,6162020.2384256,0.241339865461198
"56",56,1469804.36115553,4668850.46076609,6138654.82192162,0.239434274086684
"57",57,1452509.91845275,4662693.93390138,6115203.85235413,0.23752436607548
"58",58,1435256.02296875,4656406.35908477,6091662.38205352,0.235609909570352
"59",59,1418041.01125859,4649984.55483621,6068025.5660948,0.233690678427909
"60",60,1400863.33680004,4643425.32032226,6044288.6571223,0.231766451979313
"61",61,1383721.56646319,4636725.43387274,6020447.00033593,0.229837014823979
"62",62,1366614.37729794,4629881.65131638,5996496.02861432,0.227902156655599
"63",63,1349540.55357565,4622890.70419357,5972431.25776922,0.225961672111354
"64",64,1332498.9840615,4615749.29785659,5948248.28191809,0.22401536064191
"65",65,1315488.65946956,4608454.10950023,5923942.76896979,0.222063026395228
"66",66,1298508.67008088,4601001.78613608,5899510.45621696,0.220104478111824
"67",67,1281558.20350797,4593388.94252018,5874947.14602816,0.218139529029531
"68",68,1264636.54258964,4585612.15904587,5850248.70163551,0.216167996795776
"69",69,1247743.06341192,4577667.97959957,5825411.04301149,0.214189703387333
"70",70,1230877.23344819,4569552.90938195,5800430.14283014,0.212204475037022
"71",71,1214038.60981629,4561263.41269112,5775302.02250741,0.210212142167623
"72",72,1197226.83764967,4552795.91066556,5750022.74831523,0.208212539333077
"73",73,1180441.64858122,4544146.77898303,5724588.42756425,0.206205505167379
"74",74,1163682.85933735,4535312.34551224,5698995.20484959,0.204190882341348
"75",75,1146950.37044116,4526288.88791325,5673239.25835441,0.202168517527648
"76",76,1130244.16502306,4517072.63118259,5647316.79620565,0.200138261374403
"77",77,1113564.30773748,4507659.74513892,5621224.05287641,0.198099968487765
"78",78,1096910.94378463,4498046.34184495,5594957.28562958,0.196053497423832
"79",79,1080284.29803569,4488228.47296122,5568512.77099691,0.193998710690267
"80",80,1063684.67426031,4478202.12702771,5541886.80128802,0.191935474758
"81",81,1047112.45445515,4467963.2266684,5515075.68112356,0.189863660083415
"82",82,1030568.09827223,4457507.62571461,5488075.72398684,0.187783141141421
"83",83,1014052.14254607,4446831.10624197,5460883.24878803,0.185693796469851
"84",84,997565.20091875,4435929.37551623,5433494.57643498,0.18359550872567
"85",85,981107.963562129,4424798.06284248,5405906.02640461,0.181488164753513
"86",86,964681.196996612,4413432.71631216,5378113.91330878,0.179371655667128
"87",87,948285.744006155,4401828.79944188,5350114.54344804,0.177245876944348
"88",88,931922.523649242,4389981.68769777,5321904.21134701,0.175110728536274
"89",89,915592.531365811,4377886.66489864,5293479.19626445,0.172966114991428
"90",90,899296.839180239,4365538.9194909,5264835.75867114,0.170811945595664
"91",91,883036.5960007,4352933.54068767,5235970.13668837,0.168648134528743
"92",92,866813.028015326,4340065.51446424,5206878.54247957,0.166474601038522
"93",93,850627.439185821,4326929.71940135,5177557.15858717,0.164291269633793
"94",94,834481.211839292,4313520.92236744,5148002.13420673,0.162098070296911
"95",95,818375.807359286,4299833.77403041,5118209.5813897,0.159894938717433
"96",96,802312.766977132,4285862.80418878,5088175.57116592,0.157681816548105
"97",97,786293.712664921,4271602.4169116,5057896.12957652,0.155458651684639
"98",98,770320.348131578,4257046.88547577,5027367.23360735,0.153225398570862
"99",99,754394.459923692,4242190.34708876,4996584.80701245,0.150982018530925
"100",100,738517.918632939,4227026.79738369,4965544.71601663,0.14872848013045
"101",101,722692.6802121,4211550.08467338,4934242.76488548,0.146464759568609
"102",102,706920.787401879,4195753.90394847,4902674.69135035,0.144190841103343
"103",103,691204.371270883,4179631.79060432,4870836.1618752,0.141906717512087
"104",104,675545.652871329,4163177.11388,4838722.76675133,0.139612390590603
"105",105,659946.945013212,4146383.06999154,4806330.01500476,0.137307871692735
"106",106,644410.654159837,4129242.67494075,4773653.32910059,0.134993182314153
"107",107,628939.282447814,4111748.75697908,4740688.0394269,0.132668354723431
"108",108,613535.429834762,4093893.94870517,4707429.37853993,0.130333432644094
"109",109,598201.796378148,4075670.67877255,4673872.4751507,0.127988471991603
"110",110,582941.184648814,4057071.163183,4640012.34783182,0.125633541669606
"111",111,567756.502282923,4038087.39613861,4605843.89842154,0.123268724430174
"112",112,552650.764676121,4018711.14042421,4571361.90510033,0.12089411780317
"113",113,537627.097823875,3998933.9172893,4536561.01511318,0.11850983510038
"114",114,522688.741311972,3978746.9957967,4501435.73710867,0.116116006500562
"115",115,507839.051461225,3958141.38160226,4465980.43306349,0.113712780222117
"116",116,493081.504630438,3937107.80512777,4430189.30975821,0.111300323790757
"117",117,478419.700681613,3915636.70908578,4394056.40976739,0.108878825410195
"118",118,463857.366611289,3893718.23531231,4357575.6019236,0.106448495444697
"119",119,449398.360351703,3871342.21085975,4320740.57121145,0.104009568023127
"120",120,435046.674745184,3848498.1332984,4283544.80804358,0.101562302775089
"121",121,420806.44169482,3825175.15517143,4245981.59686625,0.0991069867107754
"122",122,406681.936493891,3801362.06754301,4208044.0040369,0.0966439362572607
"123",123,392677.582335891,3777047.28257507,4169724.86491096,0.0941734994652402
"124",124,378797.955006098,3752218.81506231,4131016.77006841,0.0916960584015797
"125",125,365047.787754509,3726864.26284989,4091912.0506044,0.0892120317445701
"126",126,351431.976348598,3700970.78605124,4052402.76239984,0.0867218776004582
"127",127,337955.584302617,3674525.08497716,4012480.66927977,0.0842260965616761
"128",128,324623.84827802,3647513.3766793,3972137.22495732,0.0817252350292375
"129",129,311442.183646986,3619921.37000327,3931363.55365026,0.0792198888240223
"130",130,298416.190207808,3591734.23903716,3890150.42924497,0.0767107071141531
"131",131,285551.658037007,3562936.59483167,3848488.25286867,0.0741983966884026
"132",132,272854.573458307,3533512.45525696,3806367.02871527,0.0716837266085718
"133",0,3080527,4488180,7568707,0.407008356909575
