"","t","breach","not_breach","tot","ratio"
"1",1,3029565.75234399,4484709.8971193,7514275.6494633,0.403174689573755
"2",2,2866725.63908795,4609972.06911057,7476697.70819852,0.383421364748298
"3",3,2846440.33627646,4591050.44303645,7437490.77931291,0.382715141535869
"4",4,2781433.58075512,4624269.14402819,7405702.72478331,0.375579966428709
"5",5,2521797.79986688,4858370.4048175,7380168.20468438,0.341699230956041
"6",6,2483842.54679293,4866678.0853794,7350520.63217233,0.337913825576036
"7",7,2450143.93915355,4870155.6436737,7320299.58282725,0.334705419010633
"8",8,2418875.14756218,4871307.26350723,7290182.41106942,0.331798988169262
"9",9,2390539.71207049,4871005.9044275,7261545.61649799,0.329205356314125
"10",10,2366078.99086039,4869286.46338745,7235365.45424783,0.327015823294907
"11",11,2341541.0877821,4866588.92737556,7208130.01515766,0.324847232619026
"12",12,2317518.43864718,4863294.79990271,7180813.23854989,0.322737601112599
"13",13,2295890.75536286,4859354.32515137,7155245.08051423,0.320868220379372
"14",14,2274318.717556,4854914.82003015,7129233.53758615,0.319013075608412
"15",15,2252085.51109925,4851020.89048689,7103106.40158615,0.317056423453879
"16",16,2230320.39439931,4846822.61587505,7077143.01027436,0.315144174868503
"17",17,2208892.68001227,4842670.19445447,7051562.87446675,0.313248668321534
"18",18,2187521.59628612,4838606.37739419,7026127.97368031,0.311340983893336
"19",19,2166404.87297527,4834402.8916471,7000807.76462237,0.309450701378047
"20",20,2145626.17354818,4830252.39332883,6975878.56687701,0.307577913373676
"21",21,2124832.26587972,4826237.77431968,6951070.04019939,0.305684197338165
"22",22,2104044.69468137,4822358.8963985,6926403.59107988,0.303771599072144
"23",23,2083365.06359043,4818592.76540191,6901957.82899233,0.301851317439097
"24",24,2062753.25993858,4814964.2453212,6877717.50525979,0.299918288060113
"25",25,2042326.73452759,4811338.72753955,6853665.46206714,0.297990432394347
"26",26,2022004.91036522,4807778.17982049,6829783.09018571,0.296056973357002
"27",27,2001841.03193637,4804211.33763279,6806052.36956916,0.294126598391585
"28",28,1981866.33522124,4800592.4252562,6782458.76047744,0.292204701157922
"29",29,1962075.68135609,4796913.12911757,6758988.81047366,0.290291304864372
"30",30,1942473.82171781,4793156.17858471,6735630.00030252,0.288387845180119
"31",31,1923040.51709996,4789330.9768332,6712371.49393317,0.286491967680582
"32",32,1903760.09877329,4785442.95148175,6689203.05025504,0.284601930076066
"33",33,1884619.88675415,4781494.83014266,6666114.7168968,0.282716389800065
"34",34,1865609.85780281,4777487.05198935,6643096.90979215,0.280834358302501
"35",35,1846721.8152053,4773418.70797376,6620140.52317906,0.278955077877786
"36",36,1827948.81664106,4769287.93102156,6597236.74766262,0.277077947413164
"37",37,1809284.82749803,4765092.2707099,6574377.09820793,0.275202471727887
"38",38,1790724.45768804,4760828.81361593,6551553.27130397,0.27332822973927
