"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"79",10,"C_999",2024-12-01,"dc",226683.591854007,"activity",221824.846755839
"80",10,"C_999",2024-12-01,"ord",50723.6717926852,"activity",49636.4585997581
"81",11,"C_999",2025-01-01,"first",1524505.51082115,"activity",1488600.33952934
"82",11,"C_999",2025-01-01,"fups",3422864.05978074,"activity",3342248.72615113
"83",11,"C_999",2025-01-01,"ncl",615286.09621783,"activity",600794.871016372
"84",11,"C_999",2025-01-01,"cl",3384909.57009232,"activity",3305188.14103957
"85",11,"C_999",2025-01-01,"proc",947173.904291731,"activity",924866.053624525
"86",11,"C_999",2025-01-01,"non_proc",4000195.66631015,"activity",3905983.01205594
"87",11,"C_999",2025-01-01,"dc",227643.225480546,"activity",222281.769620739
"88",11,"C_999",2025-01-01,"ord",50938.4034400695,"activity",49738.7015774884
"89",12,"C_999",2025-02-01,"first",1530959.294,"activity",1491666.6125
"90",12,"C_999",2025-02-01,"fups",3437354.28125629,"activity",3349133.21130009
"91",12,"C_999",2025-02-01,"ncl",617890.824787037,"activity",602032.410082427
"92",12,"C_999",2025-02-01,"cl",3399239.11648643,"activity",3311996.28745113
"93",12,"C_999",2025-02-01,"proc",951183.633982816,"activity",926771.126266527
"94",12,"C_999",2025-02-01,"non_proc",4017129.94127347,"activity",3914028.69753356
"95",12,"C_999",2025-02-01,"dc",228606.921583287,"activity",222739.633671929
"96",12,"C_999",2025-02-01,"ord",51154.0441241769,"activity",49841.1551590126
"97",13,"C_999",2025-03-01,"first",1537440.39837711,"activity",1494739.20149094
"98",13,"C_999",2025-03-01,"fups",3451905.84507987,"activity",3356031.87736126
"99",13,"C_999",2025-03-01,"ncl",620506.580114303,"activity",603272.498276336
"100",13,"C_999",2025-03-01,"cl",3413629.32503284,"activity",3318818.45752961
"101",13,"C_999",2025-03-01,"proc",955210.338309839,"activity",928680.123046253
"102",13,"C_999",2025-03-01,"non_proc",4034135.90514714,"activity",3922090.95580594
"103",13,"C_999",2025-03-01,"dc",229574.69736016,"activity",223198.440848098
"104",13,"C_999",2025-03-01,"ord",51370.5976932885,"activity",49943.81977814
"105",14,"C_999",2025-04-01,"first",1543948.93961301,"activity",1497818.11951213
"106",14,"C_999",2025-04-01,"fups",3466519.01093582,"activity",3362944.753545
"107",14,"C_999",2025-04-01,"ncl",623133.40887988,"activity",604515.140848884
"108",14,"C_999",2025-04-01,"cl",3428080.45253638,"activity",3325654.68016145
"109",14,"C_999",2025-04-01,"proc",959254.089132573,"activity",930593.052046786
"110",14,"C_999",2025-04-01,"non_proc",4051213.86141626,"activity",3930169.82101034
"111",14,"C_999",2025-04-01,"dc",230546.570081902,"activity",223658.193091929
"112",14,"C_999",2025-04-01,"ord",51588.0680119768,"activity",50046.6958695735
"113",15,"C_999",2025-05-01,"first",1550485.03385783,"activity",1500903.37960032
"114",15,"C_999",2025-05-01,"fups",3481194.03960783,"activity",3369871.86912183
"115",15,"C_999",2025-05-01,"ncl",625771.357961639,"activity",605760.343061673
"116",15,"C_999",2025-05-01,"cl",3442592.75688902,"activity",3332504.98429262
"117",15,"C_999",2025-05-01,"proc",963314.958615,"activity",932509.921367856
"118",15,"C_999",2025-05-01,"non_proc",4068364.11485066,"activity",3938265.3273543
"119",15,"C_999",2025-05-01,"dc",231522.557092362,"activity",224118.892350107
"120",15,"C_999",2025-05-01,"ord",51806.4589611743,"activity",50149.7838689115
"121",16,"C_999",2025-06-01,"first",1557048.79775343,"activity",1503994.99481915
"122",16,"C_999",2025-06-01,"fups",3495931.19298357,"activity",3376813.25342257
"123",16,"C_999",2025-06-01,"ncl",628420.4744359,"activity",607008.110187144
"124",16,"C_999",2025-06-01,"cl",3457166.4970745,"activity",3339369.3989287
"125",16,"C_999",2025-06-01,"proc",967393.019226598,"activity",934430.739125877
"126",16,"C_999",2025-06-01,"non_proc",4085586.9715104,"activity",3946377.50911584
"127",16,"C_999",2025-06-01,"dc",232502.675808812,"activity",224580.540573327
