"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"64",64,"C_999",1660129.06271685,3727369.99836115,670023.376738487,3686038.98909614,1031436.69524338,4356062.36583462,247894.895668368,55470.0021475858,2029-06-01
"65",65,"C_999",1663548.65677286,3735047.7702749,671403.515191535,3693631.62589793,1033561.28595829,4365035.14108947,248405.518565574,55584.2612698977,2029-07-01
"66",66,"C_999",1666975.29463273,3742741.35714171,672786.496503826,3701239.90228839,1035690.25298222,4374026.39879222,248917.193262345,55698.7557472938,2029-08-01
"67",67,"C_999",1670408.99080554,3750450.79153779,674172.326531186,3708863.85048252,1037823.60532963,4383036.1770137,249429.921925214,55813.4860645672,2029-09-01
"68",68,"C_999",1673849.75983028,3758176.10610646,675561.011141499,3716503.50276165,1039961.35203359,4392064.51390315,249943.70672518,55928.4527075094,2029-10-01
"69",69,"C_999",1677297.61627584,3765917.33355827,676952.55621474,3724158.89147363,1042103.50214574,4401111.44768837,250458.549837711,56043.6561629125,2029-11-01
"70",70,"C_999",1680752.57474117,3773674.50667117,678346.967642993,3731830.04903295,1044250.06473639,4410177.01667594,250974.453442759,56159.0969185714,2029-12-01
"71",71,"C_999",1684214.64985525,3781447.65829059,679744.251330482,3739517.00792084,1046401.04889452,4419261.25925132,251491.419724764,56274.7754632859,2030-01-01
"72",72,"C_999",1687683.85627722,3789236.82132965,681144.41319359,3747219.80068544,1048556.46372784,4428364.21387903,252009.450872668,56390.6922868624,2030-02-01
"73",73,"C_999",1691160.20869641,3797042.02876924,682547.459160887,3754938.45994197,1050716.3183628,4437485.91910286,252528.549079918,56506.8478801165,2030-03-01
"74",74,"C_999",1694643.7218324,3804863.31365822,683953.395173155,3762673.01837279,1052880.62194468,4446626.41354594,253048.716544484,56623.2427348744,2030-04-01
"75",75,"C_999",1698134.41043509,3812700.70911349,685362.227183415,3770423.50872759,1055049.38363758,4455785.735911,253569.955468859,56739.8773439758,2030-05-01
"76",76,"C_999",1701632.28928477,3820554.24832018,686773.961156948,3778189.96382353,1057222.61262447,4464963.92498048,254092.268060076,56856.7522012754,2030-06-01
"77",77,"C_999",1705137.37319218,3828423.96453177,688188.603071323,3785972.41654537,1059400.31810725,4474161.0196167,254615.656529713,56973.867801645,2030-07-01
"78",78,"C_999",1708649.67699854,3836309.89107025,689606.158916421,3793770.8998456,1061582.50930677,4483377.05876202,255140.123093903,57091.2246409761,2030-08-01
"79",79,"C_999",1712169.21557568,3844212.06132623,691026.634694464,3801585.44674457,1063769.19546287,4492612.08143904,255665.669973344,57208.8232161813,2030-09-01
"80",80,"C_999",1715696.00382603,3852130.50875911,692450.036420035,3809416.09033068,1065960.38583443,4501866.12675072,256192.299393309,57326.664025197,2030-10-01
"81",81,"C_999",1719230.05668274,3860065.26689722,693876.370120107,3817262.86376047,1068156.08969938,4511139.23388058,256720.013583653,57444.7475669852,2030-11-01
"82",82,"C_999",1722771.38910969,3868016.36933794,695305.641834067,3825125.80025877,1070356.3163548,4520431.44209283,257248.814778828,57563.0743415356,2030-12-01
"83",83,"C_999",1726320.01610163,3875983.84974785,696737.857613744,3833004.93311885,1072561.07511688,4529742.7907326,257778.705217883,57681.644849868,2031-01-01
"84",84,"C_999",1729875.95268415,3883967.74186288,698173.023523429,3840900.29570258,1074770.37532103,4539073.319226,258309.687144484,57800.4595940339,2031-02-01
"85",85,"C_999",1733439.21391382,3891968.07948847,699611.145639908,3848811.92144051,1076984.22632187,4548423.06708042,258841.762806916,57919.5190771193,2031-03-01
"86",86,"C_999",1737009.81487821,3899984.89649967,701052.230052483,3856739.8438321,1079202.63749329,4557792.07388458,259374.934458096,58038.8238032462,2031-04-01
"87",87,"C_999",1740587.77069597,3908018.22684132,702496.282863,3864684.09644577,1081425.61822851,4567180.37930877,259909.20435558,58158.3742775751,2031-05-01
"88",88,"C_999",1744173.09651689,3916068.10452817,703943.310185871,3872644.71291912,1083653.17794008,4576588.02310499,260444.574761578,58278.1710063072,2031-06-01
"89",89,"C_999",1747765.80752198,3924134.56364506,705393.318148105,3880621.726959,1085885.32605993,4586015.04510711,260981.047942956,58398.2144966861,2031-07-01
"90",90,"C_999",1751365.9189235,3932217.638347,706846.312889331,3888615.17234173,1088122.07203944,4595461.48523106,261518.62617125,58518.5052570004,2031-08-01
"91",91,"C_999",1754973.44596507,3940317.36285938,708302.300561825,3896625.08291318,1090363.42534944,4604927.38347501,262057.311722677,58639.0437965857,2031-09-01
"92",92,"C_999",1758588.40392168,3948433.77147809,709761.287330535,3904651.49258895,1092609.39548029,4614412.77991948,262597.106878141,58759.8306258269,2031-10-01
"93",93,"C_999",1762210.8080998,3956566.89856965,711223.279373109,3912694.43535448,1094859.99194187,4623917.71472759,263138.013923244,58880.8662561598,2031-11-01
"94",94,"C_999",1765840.67383743,3964716.77857138,712688.282879918,3920753.94526523,1097115.22426367,4633442.22814515,263680.035148298,59002.151200074,2031-12-01
"95",95,"C_999",1769478.01650417,3972883.44599154,714156.304054086,3928830.05644682,1099375.1019948,4642986.3605009,264223.17284833,59123.6859711146,2032-01-01
"96",96,"C_999",1773122.85150125,3981066.93540945,715627.349111514,3936922.80309513,1101639.63470405,4652550.15220665,264767.429323096,59245.4710838847,2032-02-01
"97",97,"C_999",1776775.19426166,3989267.28147568,717101.424280905,3945032.21947652,1103908.83197991,4662133.64375743,265312.806877088,59367.5070540472,2032-03-01
"98",98,"C_999",1780435.06025016,3997484.51891216,718578.535803795,3953158.3399279,1106182.70343063,4671736.87573169,265859.307819548,59489.7943983273,2032-04-01
"99",99,"C_999",1784102.46496336,4005718.68251235,720058.689934574,3961301.19885691,1108461.25868422,4681359.88879149,266406.93446447,59612.3336345144,2032-05-01
