"","t","i","a","s","open","completed","carried","c_a"
"153",8,4,0.950500785293133,"C_999",516831,74293,543746,0.125680906205805
"154",9,4,0.907027951438917,"C_999",579170,91507,638536,0.136439746703704
"155",10,4,0.922010873045349,"C_999",575947,93694,624664,0.139916761369152
"156",11,4,0.949703341924091,"C_999",582964,105801,613838,0.153609721748347
"157",12,4,0.947210611599558,"C_999",433741,70571,457914,0.139935198845159
"158",13,4,0.920132528822325,"C_999",614862,92703,668232,0.131016938373153
"159",14,4,0.952343882213572,"C_999",647151,95836,679535,0.128987452001179
"160",15,4,0.895282425425343,"C_999",609143,92453,680392,0.131775266677689
"161",16,4,1,"C_999",659035,85810,649120,0.115205176916003
"162",17,4,0.951647711934318,"C_999",631010,100045,663071,0.136850168591966
"163",18,4,0.907018896602605,"C_999",654035,99635,721082,0.132199769129725
"164",19,4,0.945856512787623,"C_999",610557,108051,645507,0.150361532295772
"165",20,4,0.981181001035287,"C_999",608448,77230,620118,0.112633043498552
"166",21,4,1,"C_999",686235,98593,678248,0.12562370353759
"167",22,4,0.938945295537959,"C_999",678972,95663,723122,0.123494290859566
"168",23,4,0.937115163186761,"C_999",646214,101970,689578,0.136290003528544
"169",24,4,0.965101686851697,"C_999",515262,62914,533894,0.108814617002435
"170",25,4,0.941832389599183,"C_999",702914,90882,746326,0.114490372841385
"171",26,4,0.954906991489715,"C_999",713856,101364,747566,0.124339442113785
"172",27,4,0.955702023526335,"C_999",643219,90872,673033,0.123788467642295
"173",28,4,0.97281041676998,"C_999",686595,83297,705785,0.108193097213635
"174",29,4,0.943092047711328,"C_999",706143,91526,748753,0.114741829004261
"175",30,4,0.941933607577779,"C_999",715781,100976,759906,0.123630406595842
"176",31,4,0.947851782533801,"C_999",680659,105951,718107,0.134693177050889
"177",32,4,0.963116570958957,"C_999",653934,74528,678977,0.102308699698818
"178",33,4,0.953257265046672,"C_999",701686,100426,736093,0.125201966807628
"179",34,4,0.939381110581159,"C_999",683427,94279,727529,0.121227044667265
"180",35,4,0.947722073828656,"C_999",681941,89979,719558,0.116565188102394
"181",0,5,NA,"C_999",350881,56248,NA,0.138157684665057
"182",1,5,0.871624447894733,"C_999",245887,47484,282102,0.161856488882678
"183",2,5,0.828915669456126,"C_999",293495,49719,354071,0.144862971790195
"184",3,5,0.870167345634635,"C_999",348596,52387,400608,0.13064643638259
"185",4,5,0.870833870409265,"C_999",344555,50547,395661,0.127934052472526
"186",5,5,0.866205561578239,"C_999",409898,65889,473211,0.138484237694599
"187",6,5,0.883302214209614,"C_999",412049,69234,466487,0.143852992937627
"188",7,5,0.859028525103684,"C_999",420674,77662,489709,0.155842644320298
"189",8,5,0.900845535072604,"C_999",416151,58309,461956,0.122895502255195
"190",9,5,0.901919206124584,"C_999",410449,61747,455084,0.130765614278816
"191",10,5,0.901969489536476,"C_999",461177,67870,511300,0.128287278823999
"192",11,5,0.921261024958203,"C_999",460110,76512,499435,0.142580811073717
"193",12,5,0.894412382455372,"C_999",465869,62098,520866,0.117617199559821
"194",13,5,0.929724906824143,"C_999",346991,60522,373219,0.148515507480743
"195",14,5,0.914518290256272,"C_999",500953,67084,547778,0.118097940803152
"196",15,5,0.909733714979617,"C_999",524416,70701,576450,0.11880184904817
"197",16,5,0.89083874868893,"C_999",477331,73321,535822,0.133153062188097
"198",17,5,0.921939794325059,"C_999",542025,71117,587918,0.115987813589674
"199",18,5,0.891837954693632,"C_999",493808,77313,553697,0.135370613232572
"200",19,5,0.900628078451148,"C_999",514355,82928,571107,0.138842056445605
"201",20,5,0.946274221383996,"C_999",519796,61249,549308,0.105411801151374
"202",21,5,0.903864515428482,"C_999",482792,74306,534142,0.133380482428585
"203",22,5,0.909632636598424,"C_999",559304,71367,614868,0.113160427544631
"204",23,5,0.936422322050111,"C_999",560946,79941,599031,0.12473493767232
"205",24,5,0.923051499360389,"C_999",539015,62265,583949,0.103554084619478
"206",25,5,0.950852999027533,"C_999",432176,60748,454514,0.123240093807565
"207",26,5,0.91855961311765,"C_999",578180,73472,629442,0.112747294568267
"208",27,5,0.928318702486051,"C_999",596636,71150,642706,0.10654610908285
"209",28,5,0.953788693063339,"C_999",547510,69182,574037,0.112182418451999
"210",29,5,0.931686370914266,"C_999",576071,68285,618310,0.105974026780227
"211",30,5,0.922716188630388,"C_999",580836,76658,629485,0.116591178018355
"212",31,5,0.927646665165418,"C_999",584961,85195,630586,0.127127116671342
"213",32,5,0.947339996345638,"C_999",585872,62220,618439,0.0960048881948859
"214",33,5,0.94343594836147,"C_999",546273,74909,579025,0.120591066708308
"215",34,5,0.922656991294712,"C_999",579543,73562,628124,0.112634262484593
"216",35,5,0.937828993005966,"C_999",574575,70762,612665,0.109651236485743
"217",0,6,NA,"C_999",275933,44659,NA,0.139301666916205
"218",1,6,0.924127535773995,"C_999",280798,47029,303852,0.143456762255702
"219",2,6,0.934758171581406,"C_999",192921,39501,206386,0.169953790949222
"220",3,6,0.931695856471593,"C_999",239921,35985,257510,0.130424854841866
"221",4,6,0.924214826030866,"C_999",288709,36213,312383,0.111451363711906
"222",5,6,0.93889575980614,"C_999",280128,46196,298359,0.141564825143109
"223",6,6,0.932363676737957,"C_999",335898,49633,360265,0.128739323167268
"224",7,6,0.923246950139564,"C_999",325800,59164,352885,0.15368709801436
