"","completed_admit","completed_non_admit","total","date2"
"157",161597,686509,848106,2020-08-01
"158",215950,868752,1084703,2020-09-01
"159",238854,926647,1165502,2020-10-01
"160",228908,961018,1189926,2020-11-01
"161",197639,867117,1064756,2020-12-01
"162",143783,834773,978556,2021-01-01
"163",157047,831781,988828,2021-02-01
"164",220349,1013328,1233677,2021-03-01
"165",223606,935418,1159024,2021-04-01
"166",242793,955913,1198706,2021-05-01
"167",275835,1063055,1338890,2021-06-01
"168",261519,1007211,1268730,2021-07-01
"169",233922,911415,1145337,2021-08-01
"170",254285,1045957,1300242,2021-09-01
"171",254611,1028542,1283153,2021-10-01
"172",275982,1144520,1420502,2021-11-01
"173",225423,944504,1169927,2021-12-01
"174",228477,1021768,1250245,2022-01-01
"175",248845,1018365,1267210,2022-02-01
"176",282348,1157241,1439589,2022-03-01
"177",236174,947571,1183745,2022-04-01
"178",282934,1113601,1396535,2022-05-01
"179",266530,1042332,1308862,2022-06-01
"180",267704,1028070,1295774,2022-07-01
"181",277076,1067559,1344635,2022-08-01
"182",281822,1090553,1372375,2022-09-01
"183",285743,1117730,1403473,2022-10-01
"184",308941,1234012,1542953,2022-11-01
"185",242055,974091,1216146,2022-12-01
"186",287224,1192361,1479585,2023-01-01
"187",280383,1118905,1399288,2023-02-01
"188",310709,1226053,1536762,2023-03-01
"189",244079,977770,1221849,2023-04-01
"190",288185,1168337,1456522,2023-05-01
"191",302760,1217525,1520285,2023-06-01
"192",279579,1147573,1427152,2023-07-01
"193",285952,1136915,1422867,2023-08-01
"194",283917,1167336,1451253,2023-09-01
"195",301689,1253601,1555290,2023-10-01
"196",319449,1306568,1626017,2023-11-01
"197",250713,1002992,1253705,2023-12-01
"198",308648,1262093,1570741,2024-01-01
"199",301266,1175101,1476367,2024-02-01
"200",301999,1127573,1429572,2024-03-01
"201",310373,1170779,1481152,2024-04-01
"202",312925,1209902,1522827,2024-05-01
"203",299182,1160980,1460162,2024-06-01
"204",330538,1274604,1605142,2024-07-01
"205",299750,1111634,1411384,2024-08-01
"206",310564,1212907,1523471,2024-09-01
