"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"27",27,"C_999",1587649.60448396,3564637.0132084,640770.873159093,3525110.47157606,986405.272957202,4165881.34473515,237072.069816901,53048.2412169899,2026-06-01
"28",28,"C_999",1592591.66691792,3575733.07535203,642765.475527318,3536083.49483505,989475.771907583,4178848.97036237,237810.03174948,53213.3706758866,2026-07-01
"29",29,"C_999",1597549.11308707,3586863.67750484,644766.286727395,3547090.67510569,992555.828758821,4191856.96183309,238550.290822394,53379.0141525448,2026-08-01
"30",30,"C_999",1602521.99087818,3598028.92718352,646773.326086281,3558132.11871251,995645.473262912,4204905.44479879,239292.85418622,53545.1732470074,2026-09-01
"31",31,"C_999",1607510.34832704,3609228.93223949,648786.612991093,3569207.93231098,998744.735264463,4217994.54530207,240037.729013795,53711.8495642984,2026-10-01
"32",32,"C_999",1612514.233619,3620463.80085987,650806.166889298,3580318.2228886,1001853.64470098,4231124.3897779,240784.92250028,53879.0447144377,2026-11-01
"33",33,"C_999",1617533.6950894,3631733.64156856,652832.007288898,3591463.09776589,1004972.23160317,4244295.10505479,241534.441863238,54046.7603124568,2026-12-01
"34",34,"C_999",1622568.78122401,3643038.56322725,654864.15375862,3602642.66459745,1008100.52609519,4257506.81835607,242286.294342694,54214.9979784147,2027-01-01
"35",35,"C_999",1627619.54065957,3654378.67503652,656902.625928107,3613857.03137296,1011238.55839502,4270759.65730107,243040.487201215,54383.7593374133,2027-02-01
"36",36,"C_999",1632686.02218418,3665754.08653686,658947.443488102,3625106.30641829,1014386.35881464,4284053.74990639,243797.02772397,54553.046019613,2027-03-01
"37",37,"C_999",1637768.27473782,3677164.90760974,660998.626190644,3636390.59839648,1017543.95776044,4297389.22458713,244555.923218809,54722.859660249,2027-04-01
"38",38,"C_999",1642866.34741284,3688611.24847869,663056.193849257,3647710.01630884,1020711.38573343,4310766.2101581,245317.181016328,54893.2018996461,2027-05-01
"39",39,"C_999",1647980.28945435,3700093.21971032,665120.166339139,3659064.66949595,1023888.67332958,4324184.83583509,246080.808469943,55064.0743832355,2027-06-01
"40",40,"C_999",1653110.1502608,3711610.93221541,667190.563597356,3670454.66763879,1027075.85124007,4337645.23123614,246846.81295596,55235.4787615703,2027-07-01
"41",41,"C_999",1658255.97938438,3723164.49725002,669267.405623036,3681880.12075971,1030272.95025166,4351147.52638275,247615.201873645,55407.4166903415,2027-08-01
"42",42,"C_999",1663417.82653155,3734754.0264165,671350.71247756,3693341.13922358,1033480.0012469,4364691.85170114,248385.982645297,55579.8898303937,2027-09-01
"43",43,"C_999",1668595.74156347,3746379.63166459,673440.504284755,3704837.8337388,1036697.03520451,4378278.33802355,249159.162716319,55752.8998477418,2027-10-01
"44",44,"C_999",1673789.77449653,3758041.42529255,675536.801231091,3716370.31535837,1039924.08319962,4391907.11658946,249934.749555291,55926.4484135863,2027-11-01
"45",45,"C_999",1678999.9755028,3769739.51994816,677639.623565876,3727938.695481,1043161.17640409,4405578.31904687,250712.750654041,56100.5372043301,2027-12-01
"46",46,"C_999",1684226.39491053,3781474.02862988,679748.991601448,3739543.08585215,1046408.34608681,4419292.0774536,251493.173527717,56275.1679015944,2028-01-01
"47",47,"C_999",1689469.08320463,3793245.0646879,681864.925713375,3751183.59856514,1049665.62361403,4433048.52427851,252276.025714861,56450.342192235,2028-02-01
"48",48,"C_999",1694728.09102718,3805052.74182526,683987.44634065,3762860.34606219,1052933.0404496,4446847.79240284,253061.314777481,56626.0617683584,2028-03-01
"49",49,"C_999",1700003.46917786,3816897.17409892,686116.573985889,3774573.44113555,1056210.62815534,4460690.01512144,253849.048301123,56802.3283273384,2028-04-01
"50",50,"C_999",1705295.26861452,3828778.47592088,688252.329215529,3786322.99692857,1059498.4183913,4474575.3261441,254639.233894948,56979.1435718326,2028-05-01
"51",51,"C_999",1710603.54045362,3840696.76205931,690394.732660026,3798109.1269368,1062796.4429161,4488503.85959683,255431.879191801,57156.5092097985,2028-06-01
"52",52,"C_999",1715928.33597071,3852652.1476396,692543.805014056,3809931.94500906,1066104.73358719,4502475.75002312,256226.991848287,57334.42695451,2028-07-01
"53",53,"C_999",1721269.70660099,3864644.74814552,694699.567036711,3821791.56534858,1069423.32236122,4516491.13238529,257024.579544843,57512.8985245745,2028-08-01
"54",54,"C_999",1726627.70393975,3876674.67942032,696862.039551707,3833688.10251408,1072752.24129429,4530550.14206579,257824.649985818,57691.9256439487,2028-09-01
"55",55,"C_999",1732002.37974288,3888742.05766785,699031.243447575,3845621.67142087,1076091.52254228,4544652.91486845,258627.210899539,57871.510041956,2028-10-01
"56",56,"C_999",1737393.7859274,3900846.99945367,701207.199677873,3857592.38734199,1079441.1983612,4558799.58701986,259432.270038392,58051.6534533026,2028-11-01
"57",57,"C_999",1742801.9745719,3912989.6217062,703389.929261379,3869600.36590928,1082801.30110744,4572990.29517066,260239.835178895,58232.3576180947,2028-12-01
"58",58,"C_999",1748226.99791713,3925170.04171782,705579.453282303,3881645.72311453,1086171.86323811,4587225.17639684,261049.91412177,58413.624281855,2029-01-01
"59",59,"C_999",1753668.90836641,3937388.37714605,707775.792890483,3893728.57531061,1089552.91731136,4601504.36820109,261862.514692026,58595.4551955399,2029-02-01
"60",60,"C_999",1759127.75848621,3949644.74601462,709978.969301595,3905849.03921255,1092944.49598668,4615828.00851415,262677.644739025,58777.852115556,2029-03-01
"61",61,"C_999",1764603.60100662,3961939.26671468,712189.003797353,3918007.2318987,1096346.63202524,4630196.23569605,263495.312136566,58960.8168037773,2029-04-01
"62",62,"C_999",1770096.48882188,3974272.05800588,714405.917725719,3930203.27081186,1099759.35829017,4644609.18853758,264315.524782956,59144.3510275623,2029-05-01
"63",63,"C_999",1775606.47499085,3986643.23901756,716629.732501107,3942437.2737604,1103182.70774691,4659067.0062615,265138.29060109,59328.4565597708,2029-06-01
"64",64,"C_999",1781133.6127376,3999052.9292499,718860.46960459,3954709.35891941,1106616.71346351,4673569.828524,265963.617538522,59513.1351787814,2029-07-01
"65",65,"C_999",1786677.95545183,4011501.24857505,721098.150584107,3967019.64483183,1110061.40861095,4688117.79541594,266791.513567548,59698.3886685083,2029-08-01
"66",66,"C_999",1792239.55668946,4023988.3172383,723342.797054672,3979368.25040961,1113516.82646347,4702711.04746429,267621.986685279,59884.2188184188,2029-09-01
"67",67,"C_999",1797818.47017311,4036514.25585923,725594.430698583,3991755.29493486,1116983.00039889,4717349.72563345,268455.044913722,60070.6274235503,2029-10-01
"68",68,"C_999",1803414.74979264,4049079.18543291,727853.073265632,4004180.89806098,1120459.96389893,4732033.97132661,269290.696299851,60257.6162845281,2029-11-01
"69",69,"C_999",1809028.44960563,4061683.22733103,730118.746573312,4016645.17981383,1123947.75054952,4746763.92638714,270128.948915693,60445.1872075823,2029-12-01
"70",70,"C_999",1814659.62383798,4074326.5033031,732391.472507031,4029148.26059289,1127446.39404116,4761539.73309992,270969.810858397,60633.3420045655,2030-01-01
"71",71,"C_999",1820308.32688433,4087009.1354776,734671.273020322,4041690.26117241,1130955.92816919,4776361.53419274,271813.290250323,60822.0824929704,2030-02-01
"72",72,"C_999",1825974.61330869,4099731.24636318,736958.170135056,4054271.30270263,1134476.38683418,4791229.47283768,272659.395239108,61011.4104959471,2030-03-01
"73",73,"C_999",1831658.53784487,4112492.95884983,739252.185941653,4066891.50671085,1138007.8040422,4806143.69265251,273508.133997756,61201.3278423209,2030-04-01
"74",74,"C_999",1837360.15539711,4125294.3962101,741553.342599297,4079550.99510271,1141550.2139052,4821104.33770201,274359.514724709,61391.8363666097,2030-05-01
"75",75,"C_999",1843079.52104051,4138135.68210023,743861.66233615,4092249.89016329,1145103.65064129,4836111.55249944,275213.545643931,61582.9379090421,2030-06-01
"76",76,"C_999",1848816.69002163,4151016.9405614,746177.167449564,4104988.31455834,1148668.14857512,4851165.48200791,276070.235004985,61774.6343155751,2030-07-01
"77",77,"C_999",1854571.717759,4163938.2960209,748499.880306303,4117766.39133544,1152243.74213816,4866266.27164174,276929.591083114,61966.9274379116,2030-08-01
"78",78,"C_999",1860344.65984366,4176899.87329335,750829.82334275,4130584.24392518,1155830.46586908,4881414.06726793,277791.62217932,62159.8191335187,2030-09-01
"79",79,"C_999",1866135.57203969,4189901.79758188,753167.01906513,4143441.99614239,1159428.35441405,4896609.01520752,278656.336620443,62353.3112656452,2030-10-01
"80",80,"C_999",1871944.51028476,4202944.19447936,755511.490049726,4156339.7721873,1163037.44252709,4911851.26223703,279523.742759246,62547.4057033402,2030-11-01
"81",81,"C_999",1877771.53069065,4216027.18996961,757863.258943098,4169277.69664676,1166657.76507041,4927140.95558985,280393.848974489,62742.1043214704,2030-12-01
"82",82,"C_999",1883616.68954382,4229150.91042862,760222.348462298,4182255.89449542,1170289.35701472,4942478.24295771,281266.663671017,62937.409000739,2031-01-01
"83",83,"C_999",1889480.04330594,4242315.48262575,762588.781395094,4195274.49109697,1173932.25343962,4957863.27249206,282142.195279835,63133.3216277033,2031-02-01
"84",84,"C_999",1895361.64861442,4255521.03372498,764962.580600188,4208333.61220533,1177586.48953388,4973296.19280552,283020.452258194,63329.8440947931,2031-03-01
"85",85,"C_999",1901261.56228298,4268767.69128613,767343.769007435,4221433.38396587,1181252.10059581,4988777.1529733,283901.44308967,63526.978300329,2031-04-01
"86",86,"C_999",1907179.8413022,4282055.58326609,769732.36961807,4234573.93291662,1184929.1220336,5004306.30253469,284785.176284248,63724.7261485408,2031-05-01
"87",87,"C_999",1913116.54284005,4295384.83802004,772128.405504923,4247755.3859895,1188617.58936566,5019883.79149442,285671.6603784,63923.0895495857,2031-06-01
"88",88,"C_999",1919071.72424245,4308755.58430274,774531.899812648,4260977.87051156,1192317.53822098,5035509.77032421,286560.903935175,64122.070419567,2031-07-01
"89",89,"C_999",1925045.44303384,4322167.9512697,776942.875757942,4274241.51420619,1196029.00433941,5051184.38996413,287452.915544273,64321.6706805523,2031-08-01
"90",90,"C_999",1931037.75691772,4335622.0684785,779361.356629774,4287546.44519434,1199752.02357211,5066907.80182411,288347.703822134,64521.8922605924,2031-09-01
"91",91,"C_999",1937048.7237772,4349118.06588999,781787.365789605,4300892.7919958,1203486.63188178,5082680.15778541,289245.27741202,64722.7370937398,2031-10-01
"92",92,"C_999",1943078.40167558,4362656.07386958,784220.926671616,4314280.68353042,1207232.86534312,5098501.61020203,290145.644984097,64924.2071200671,2031-11-01
"93",93,"C_999",1949126.84885689,4376236.22318846,786662.062782936,4327710.24911933,1210990.76014308,5114372.31190227,291048.81523552,65126.3042856863,2031-12-01
"94",94,"C_999",1955194.12374649,4389858.6450249,789110.797703865,4341181.61848624,1214760.35258128,5130292.41619011,291954.796890515,65329.0305427671,2032-01-01
"95",95,"C_999",1961280.28495156,4403523.47096553,791567.155088108,4354694.92175865,1218541.67907033,5146262.07684676,292863.598700469,65532.3878495561,2032-02-01
"96",96,"C_999",1967385.39126176,4417230.83300653,794031.158662995,4368250.28946913,1222334.77613616,5162281.44813213,293775.229444005,65736.3781703953,2032-03-01
"97",97,"C_999",1973509.50164973,4430980.863555,796502.832229718,4381847.85255657,1226139.68041845,5178350.68478629,294689.697927078,65941.0034757416,2032-04-01
"98",98,"C_999",1979652.67527168,4444773.6954302,798982.199663557,4395487.74236745,1229956.42867087,5194469.94203101,295607.012983049,66146.2657421854,2032-05-01
"99",99,"C_999",1985814.97146797,4458609.4618648,801469.28491411,4409170.0906571,1233785.05776156,5210639.37557121,296527.18347278,66352.16695247,2032-06-01
"100",100,"C_999",1991996.44976366,4472488.29650624,803964.112005529,4422895.029591,1237625.60467337,5226859.14159653,297450.218284712,66558.7090955106,2032-07-01
"101",101,"C_999",1998197.16986913,4486410.33341795,806466.705036744,4436662.69174602,1241478.10650431,5243129.39678277,298376.126334955,66765.8941664133,2032-08-01
"102",102,"C_999",2004417.19168059,4500375.70708068,808977.088181706,4450473.21011172,1245342.60046785,5259450.29829343,299304.916567375,66973.7241664949,2032-09-01
"103",103,"C_999",2010656.57528073,4514384.55239381,811495.28568961,4464326.71809164,1249219.12389329,5275822.00378125,300236.597953677,67182.2011033019,2032-10-01
"104",104,"C_999",2016915.38093925,4528437.00467662,814021.321885137,4478223.34950457,1253107.71422616,5292244.67138971,301171.179493493,67391.3269906297,2032-11-01
"105",105,"C_999",2023193.66911346,4542533.19966962,816555.221168687,4492163.23858587,1257008.40902852,5308718.45975456,302108.670214469,67601.1038485424,2032-12-01
"106",106,"C_999",2029491.50044885,4556673.27353585,819097.008016612,4506146.51998872,1260921.24597937,5325243.52800533,303049.079172355,67811.5337033923,2033-01-01
"107",107,"C_999",2035808.93577972,4570857.36286222,821646.706981456,4520173.32878548,1264846.262875,5341820.03576694,303992.415451087,68022.6185878392,2033-02-01
"108",108,"C_999",2042146.03612971,4585085.60466078,824204.342692189,4534243.80046896,1268783.49762934,5358448.14316115,304938.688162878,68234.3605408703,2033-03-01
"109",109,"C_999",2048502.86271242,4599358.13637009,826769.939854448,4548358.07095372,1272732.98827435,5375128.01080817,305887.906448307,68446.7616078198,2033-04-01
"110",110,"C_999",2054879.47693201,4613675.09585654,829343.523250772,4562516.27657741,1276694.77296037,5391859.79982818,306840.079476405,68659.8238403884,2033-05-01
"111",111,"C_999",2061275.94038375,4628036.62141567,831925.117740847,4576718.55410207,1280668.8899565,5408643.67184292,307795.216444745,68873.5492966639,2033-06-01
"112",112,"C_999",2067692.31485468,4642442.85177348,834514.748261739,4590965.04071546,1284655.37765096,5425479.7889772,308753.326579531,69087.94004114,2033-07-01
"113",113,"C_999",2074128.66232415,4656893.92608783,837112.439828141,4605255.87403237,1288654.27455147,5442368.31386051,309714.419135684,69302.998144737,2033-08-01
"114",114,"C_999",2080585.04496446,4671389.98394975,839718.217532611,4619591.19209597,1292665.61928562,5459309.40962858,310678.503396936,69518.7256848218,2033-09-01
"115",115,"C_999",2087061.5251414,4685931.16538478,842332.106545815,4633971.13337913,1296689.45060124,5476303.23992494,311645.588675917,69735.1247452274,2033-10-01
"116",116,"C_999",2093558.16541494,4700517.61085433,844954.132116773,4648395.83678575,1300725.80736675,5493349.96890252,312615.684314245,69952.1974162736,2033-11-01
"117",117,"C_999",2100075.02853977,4715149.46125706,847584.319573097,4662865.44165213,1304774.7285716,5510449.76122523,313588.799682619,70169.945794787,2033-12-01
"118",118,"C_999",2106612.17746591,4729826.85793022,850222.694321244,4677380.08774829,1308836.25332659,5527602.78206954,314564.944180904,70388.3719841212,2034-01-01
"119",119,"C_999",2113169.67533935,4744549.94265098,852869.281846752,4691939.91527933,1312910.42086425,5544809.19712608,315544.127238228,70607.4780941771,2034-02-01
"120",120,"C_999",2119747.58550264,4759318.85763789,855524.107714492,4706545.06488678,1316997.27053925,5562069.17260127,316526.358313067,70827.2662414234,2034-03-01
"121",121,"C_999",2126345.9714955,4774133.74555216,858187.197568917,4721195.67764996,1321096.84182877,5579382.87521888,317511.646893343,71047.7385489169,2034-04-01
"122",122,"C_999",2132964.89705542,4788994.74949909,860858.577134302,4735891.89508735,1325209.17433286,5596750.47222166,318500.002496509,71268.8971463232,2034-05-01
"123",123,"C_999",2139604.42611833,4803902.01302946,863538.272214999,4750633.85915795,1329334.30777485,5614172.13137295,319491.434669646,71490.7441699371,2034-06-01
"124",124,"C_999",2146264.62281916,4818855.68014087,866226.308695685,4765421.71226265,1333472.2820017,5631648.02095833,320485.952989553,71713.2817627033,2034-07-01
"125",125,"C_999",2152945.55149247,4833855.89527917,868922.71254161,4780255.5972456,1337623.13698443,5649178.30978721,321483.56706284,71936.512074237,2034-08-01
"126",126,"C_999",2159647.2766731,4848902.80333984,871627.50979885,4795135.65739562,1341786.91281848,5666763.16719447,322484.286526019,72160.437260845,2034-09-01
"127",127,"C_999",2166369.86309677,4863996.5496694,874340.726594556,4810062.03644753,1345963.64972408,5684402.76304209,323488.121045602,72385.059485546,2034-10-01
"128",128,"C_999",2173113.37570071,4879137.2800668,877062.38913721,4825034.87858361,1350153.38804669,5702097.26772082,324495.080318187,72610.380918092,2034-11-01
"129",129,"C_999",2179877.87962428,4894325.14078483,879792.523716875,4840054.32843491,1354356.16825732,5719846.85215179,325505.174070559,72836.403734989,2034-12-01
"130",130,"C_999",2186663.44020961,4909560.27853156,882531.156705451,4855120.53108273,1358572.030953,5737651.68778818,326518.412059779,73063.1301195178,2035-01-01
"131",131,"C_999",2193470.12300225,4924842.84047172,885278.314556928,4870233.63205995,1362801.01685709,5755511.94661688,327534.804073281,73290.5622617559,2035-02-01
"132",132,"C_999",2200297.99375174,4940172.97422813,888034.023807643,4885393.77735248,1367043.16681975,5773427.80116012,328554.359928964,73518.7023585975,2035-03-01
