"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"1",1,"C_999",1464402.27057478,3287918.51878045,591028.599082701,3251460.37515047,909831.815122059,3842488.97423317,218668.449479804,48930.1698994272,2024-04-01
"2",2,"C_999",1468960.68663155,3298153.20693311,592868.362862236,3261581.57577947,912663.954922955,3854449.93864171,219349.124312975,49082.4805565547,2024-05-01
"3",3,"C_999",1473533.29220262,3308419.75379546,594713.853489456,3271734.28185229,915504.910656332,3866448.13534175,220031.917962234,49235.2653288615,2024-06-01
"4",4,"C_999",1478120.13145734,3318718.25853783,596565.088790988,3281918.5914396,918354.709764575,3878483.68023059,220716.837023065,49388.5256921813,2024-07-01
"5",5,"C_999",1482721.24870255,3329048.82063925,598422.086648953,3292134.60291736,921213.379775488,3890556.68956631,221403.888111488,49542.2631269419,2024-08-01
"6",6,"C_999",1487336.68838304,3339411.5398884,600284.865001133,3302382.41496774,924080.948302568,3902667.27996888,222093.077864112,49696.4791181792,2024-09-01
"7",7,"C_999",1491966.49508192,3349806.5163846,602153.441841147,3312662.12658011,926957.443045265,3914815.56842125,222784.412938208,49851.1751555519,2024-10-01
"8",8,"C_999",1496610.71352108,3360233.85053875,604027.835218626,3322973.83705195,929842.891789254,3927001.67227057,223477.900011769,50006.3527333556,2024-11-01
"9",9,"C_999",1501269.38856163,3370693.64307431,605908.063239386,3333317.64598985,932737.322406701,3939225.70922924,224173.545783575,50162.0133505377,2024-12-01
"10",10,"C_999",1505942.56520433,3381185.99502828,607794.144065603,3343693.65331047,935640.762856532,3951487.79737607,224871.356973257,50318.1585107111,2025-01-01
"11",11,"C_999",1510630.28859,3391711.00775216,609686.095915989,3354101.95924147,938553.241184707,3963788.05515745,225571.340321367,50474.7897221695,2025-02-01
"12",12,"C_999",1515332.604,3402268.78291295,611583.937065965,3364542.6643225,941474.785524484,3976126.60138846,226273.502589434,50631.9084979015,2025-03-01
"13",13,"C_999",1520049.55685662,3412859.42249411,613487.685847844,3375015.86940619,944405.424096697,3988503.55525403,226977.850560037,50789.5163556054,2025-04-01
"14",14,"C_999",1524781.19272355,3423483.02879657,615397.360651001,3385521.67565909,947345.185210027,4000919.03631009,227684.391036869,50947.6148177038,2025-05-01
"15",15,"C_999",1529527.55730632,3434139.70443969,617312.979922055,3396060.18456268,950294.097261273,4013373.16448473,228393.130844799,51106.2054113583,2025-06-01
"16",16,"C_999",1534288.69645272,3444829.55236227,619234.562165046,3406631.49791431,953252.188735629,4025866.06007936,229104.076829942,51265.2896684842,2025-07-01
"17",17,"C_999",1539064.65615325,3455552.67582354,621162.125941613,3417235.71782822,956219.488206957,4038397.84376983,229817.235859724,51424.8691257657,2025-08-01
"18",18,"C_999",1543855.4825416,3466309.17840416,623095.689871176,3427872.94673652,959196.024338066,4050968.63660769,230532.614822948,51584.94532467,2025-09-01
"19",19,"C_999",1548661.22189503,3477099.16400722,625035.27263111,3438543.28739015,962181.825880985,4063578.56002126,231250.22062986,51745.5198114628,2025-10-01
"20",20,"C_999",1553481.92063488,3487922.73685922,626980.892956934,3449246.84285992,965176.921677246,4076227.73581686,231970.060212216,51906.5941372232,2025-11-01
"21",21,"C_999",1558317.62532697,3498780.00151113,628932.569642483,3459983.71653747,968181.340658156,4088916.28617995,232692.14052335,52068.1698578581,2025-12-01
"22",22,"C_999",1563168.38268209,3509671.06283935,630890.321540096,3470754.01213627,971195.111845081,4101644.33367637,233416.468538241,52230.2485341182,2026-01-01
"23",23,"C_999",1568034.23955642,3520596.02604674,632854.167560796,3481557.83369264,974218.264349726,4114412.00125344,234143.051253579,52392.831731612,2026-02-01
"24",24,"C_999",1572915.242952,3531554.99666364,634824.126674472,3492395.28556675,977250.827374414,4127219.41224123,234871.895687832,52555.9210208218,2026-03-01
"25",25,"C_999",1577811.44001717,3542548.08054889,636800.217910062,3503266.47244362,980292.830212372,4140066.69035369,235603.008881318,52719.5179771184,2026-04-01
"26",26,"C_999",1582722.87804705,3553575.38389084,638782.460355739,3514171.49933414,983344.302248008,4152953.95968988,236336.39789627,52883.6241807765,2026-05-01
